state,incidentType,declarations,county_rows,ia_activations,pa_activations,ia_rate,pa_rate,state_total,disaster_share_pct
UT,Fire,37,43,0,43,0.0,1.0,56,66.07
UT,Flood,10,78,11,78,0.14102564102564102,1.0,56,17.86
UT,Severe Storm,3,7,0,7,0.0,1.0,56,5.36
UT,Tornado,1,1,1,1,1.0,1.0,56,1.79
WA,Biological,3,107,0,79,0.0,0.7383177570093458,213,1.41
WA,Coastal Storm,1,39,0,39,0.0,1.0,213,0.47
WA,Drought,1,16,0,16,0.0,1.0,213,0.47
WA,Earthquake,2,30,28,21,0.9333333333333333,0.7,213,0.94
WA,Fire,145,213,6,213,0.028169014084507043,1.0,213,68.08
WA,Fishing Losses,1,6,6,0,1.0,0.0,213,0.47
WA,Flood,35,355,160,333,0.4507042253521127,0.9380281690140845,213,16.43
WA,Mud/Landslide,3,6,1,6,0.16666666666666666,1.0,213,1.41
WA,Severe Ice Storm,1,3,0,3,0.0,1.0,213,0.47
WA,Severe Storm,20,267,94,256,0.352059925093633,0.9588014981273408,213,9.39
WA,Volcanic Eruption,1,39,39,39,1.0,1.0,213,0.47
